Country_of_Citizenship,count
INDIA,27885
CHINA,3244
CANADA,977
SOUTH KOREA,394
MEXICO,297
RUSSIA,294
PAKISTAN,267
FRANCE,248
UKRAINE,240
UNITED KINGDOM,216
BRAZIL,204
NEPAL,196
TAIWAN,180
ISRAEL,178
PHILIPPINES,170
AUSTRALIA,142
TURKEY,140
IRAN,118
BANGLADESH,116
POLAND,113
VIETNAM,105
GERMANY,103
SPAIN,99
EGYPT,96
ROMANIA,93
ITALY,91
BELARUS,84
INDONESIA,60
SINGAPORE,60
VENEZUELA,58
ARGENTINA,53
JAPAN,52
UNITED STATES OF AMERICA,51
SWEDEN,51
NIGERIA,45
IRELAND,44
MALAYSIA,43
SRI LANKA,39
JORDAN,39
COLOMBIA,33
HONG KONG,33
GREECE,33
BULGARIA,33
THAILAND,32
NEW ZEALAND,29
CHILE,27
LEBANON,26
HUNGARY,25
SOUTH AFRICA,23
PORTUGAL,20
SERBIA,19
NETHERLANDS,18
PERU,17
DENMARK,17
SWITZERLAND,16
COSTA RICA,15
CZECH REPUBLIC,15
FINLAND,15
ETHIOPIA,14
MOLDOVA,14
ARMENIA,13
SYRIA,13
AUSTRIA,12
MOROCCO,12
KAZAKHSTAN,12
BELGIUM,12
TANZANIA,11
ALBANIA,11
KENYA,11
JAMAICA,10
UZBEKISTAN,9
MONGOLIA,9
GHANA,9
SAUDI ARABIA,9
LATVIA,9
SLOVAKIA,9
NORWAY,8
ESTONIA,7
GEORGIA,7
CAMBODIA,7
DOMINICAN REPUBLIC,7
GUATEMALA,7
CAMEROON,7
MACEDONIA,6
ZIMBABWE,6
TRINIDAD AND TOBAGO,6
LITHUANIA,6
ICELAND,6
PALESTINE,6
URUGUAY,6
CROATIA,5
CYPRUS,5
IRAQ,5
ECUADOR,5
BOLIVIA,5
EL SALVADOR,5
TUNISIA,5
AZERBAIJAN,4
KYRGYZSTAN,4
RWANDA,3
BURMA (MYANMAR),3
GRENADA,3
SLOVENIA,3
UGANDA,3
TURKMENISTAN,3
PANAMA,3
KOSOVO,2
ALGERIA,2
SWAZILAND,2
KUWAIT,2
SENEGAL,2
LIBYA,2
BOSNIA AND HERZEGOVINA,2
MALAWI,2
BAHRAIN,2
NICARAGUA,2
MACAU,2
HAITI,2
,1
MONTENEGRO,1
BAHAMAS,1
LUXEMBOURG,1
BARBADOS,1
BENIN,1
SUDAN,1
HONDURAS,1
TAJIKISTAN,1
SEYCHELLES,1
ANGOLA,1
ZAMBIA,1
IVORY COAST,1
BURKINA FASO,1
LESOTHO,1
BRUNEI,1
MADAGASCAR,1
NIGER,1
SURINAME,1
SERBIA AND MONTENEGRO,1
AFGHANISTAN,1
MAURITIUS,1
BELIZE,1
ST LUCIA,1
PALESTINIAN TERRITORIES,1
UNITED ARAB EMIRATES,1
ANDORRA,1
PARAGUAY,1
DOMINICA,1
GUINEA,1
