id,value
paygap,
paygap.LegalSupport,
paygap.LegalSupport.LegalHelp,3000
paygap.LegalSupport.feminist,900
paygap.LegalSupport.legislation,900
paygap.LegalSupport.transparent,900
paygap.LegalSupport.professional,900
paygap.LegalSupport.evolve,900
paygap.AgainstVictimization,
paygap.AgainstVictimization.AgainstVictimization,3000
paygap.AgainstVictimization.demand,900
paygap.AgainstVictimization.stand,900
paygap.AgainstVictimization.make,900
paygap.AgainstVictimization.victim,900
paygap.AgainstVictimization.corporate,900
paygap.NeedforChange,
paygap.NeedforChange.NeedforChange,3000
paygap.NeedforChange.culture,900
paygap.NeedforChange.change,900
paygap.NeedforChange.fight,900
paygap.NeedforChange.make,900
paygap.NeedforChange.rape,900
